EmployeeID,Gender,Age,MonthlyIncome,JobSatisfaction,YearsAtCompany,Attrition
1,Male,22,73598,3,8,No
2,Male,45,31717,5,3,Yes
3,Female,23,26952,1,7,Yes
4,Male,39,38031,5,14,No
5,Female,40,43231,1,6,No
6,Female,32,43210,2,7,Yes
7,Male,24,49898,1,12,Yes
8,Female,47,27847,4,18,No
9,Female,24,61178,3,20,No
10,Male,44,29558,1,8,Yes
11,Male,49,40256,1,13,Yes
12,Female,42,79664,3,6,No
13,Female,28,68920,3,3,Yes
14,Male,39,72784,2,6,Yes
15,Female,30,89849,5,8,Yes
16,Female,48,75352,1,8,Yes
17,Female,34,42546,1,7,No
18,Female,28,67954,4,13,Yes
19,Female,26,42359,2,8,No
20,Female,45,63311,4,19,No
21,Female,29,34065,5,16,No
22,Male,49,32185,2,6,No
23,Female,41,29163,4,13,Yes
24,Female,38,41476,5,1,No
25,Male,43,82985,5,9,Yes
26,Female,25,44234,4,6,No
27,Male,45,82399,3,17,No
28,Male,49,65979,3,17,Yes
29,Male,26,49504,2,18,No
30,Male,41,46243,4,1,Yes
31,Female,50,89574,3,8,No
32,Male,50,62182,1,3,No
33,Female,48,29535,5,5,No
34,Female,39,35821,3,17,Yes
35,Female,28,85877,5,7,Yes
36,Female,34,69019,3,15,Yes
37,Female,25,41246,2,3,Yes
38,Male,40,61301,2,19,Yes
39,Male,24,71389,1,8,Yes
40,Male,49,46654,1,17,Yes
41,Female,43,56812,2,18,Yes
42,Female,29,76420,4,14,No
43,Male,25,68187,4,12,No
44,Female,36,81612,1,4,Yes
45,Female,45,47236,1,8,Yes
46,Male,39,54400,2,14,Yes
47,Female,36,41371,1,15,No
48,Male,23,67738,5,1,Yes
49,Male,27,51634,4,16,No
50,Female,50,28842,2,13,Yes
51,Female,30,85720,4,10,No
52,Female,26,37445,3,7,No
53,Male,45,45552,1,2,No
54,Female,38,85252,5,6,No
55,Male,49,37178,1,20,Yes
56,Male,34,32856,5,8,Yes
57,Male,41,30372,4,19,Yes
58,Female,30,38386,3,8,No
59,Female,26,69019,3,15,No
60,Male,22,55034,5,19,No
